score,physics,p-ranking,history,h-ranking
450,1423,167931,698,56839
449,1392,169323,653,57492
448,1447,170770,625,58117
447,1415,172185,661,58778
446,1452,173637,695,59473
445,1451,175088,626,60099
444,1441,176529,629,60728
443,1436,177965,679,61407
442,1368,179333,726,62133
441,1405,180738,695,62828
440,1368,182106,699,63527
439,1416,183522,641,64168
438,1410,184932,689,64857
437,1446,186378,673,65530
436,1403,187781,743,66273
435,1392,189173,665,66938
434,1366,190539,744,67682
433,1376,191915,713,68395
432,1383,193298,724,69119
431,1298,194596,706,69825
430,1450,196046,768,70593
429,1328,197374,745,71338
428,1321,198695,733,72071
427,1346,200041,763,72834
426,1442,201483,729,73563
425,1350,202833,757,74320
424,1305,204138,712,75032
423,1296,205434,713,75745
422,1294,206728,767,76512
421,1312,208040,705,77217
420,1293,209333,729,77946
419,1375,210708,764,78710
418,1291,211999,749,79459
417,1295,213294,797,80256
416,1310,214604,699,80955
415,1298,215902,758,81713
414,1368,217270,809,82522
413,1297,218567,759,83281
412,1282,219849,732,84013
411,1307,221156,802,84815
410,1325,222481,749,85564
409,1301,223782,781,86345
408,1270,225052,750,87095
407,1276,226328,790,87885
406,1294,227622,806,88691
405,1175,228797,792,89483
404,1308,230105,798,90281
403,1225,231330,762,91043
402,1305,232635,817,91860
401,1191,233826,829,92689
400,1216,235042,756,93445
399,1221,236263,826,94271
398,1232,237495,794,95065
397,1229,238724,794,95859
396,1217,239941,851,96710
395,1201,241142,809,97519
394,1222,242364,783,98302
393,1114,243478,789,99091
392,1167,244645,842,99933
391,1126,245771,819,100752
390,1219,246990,842,101594
389,1084,248074,821,102415
388,1094,249168,871,103286
387,1109,250277,866,104152
386,1048,251325,875,105027
385,1120,252445,867,105894
384,1059,253504,790,106684
383,1123,254627,847,107531
382,1104,255731,862,108393
381,1077,256808,858,109251
380,1070,257878,881,110132
379,1062,258940,893,111025
378,1021,259961,847,111872
377,994,260955,884,112756
376,1057,262012,918,113674
375,1022,263034,871,114545
374,1033,264067,921,115466
373,1011,265078,865,116331
372,995,266073,872,117203
371,955,267028,870,118073
370,933,267961,892,118965
369,972,268933,915,119880
368,951,269884,869,120749
367,941,270825,919,121668
366,900,271725,901,122569
365,950,272675,909,123478
364,932,273607,882,124360
363,920,274527,913,125273
362,855,275382,947,126220
361,857,276239,975,127195
360,875,277114,916,128111
359,862,277976,938,129049
358,799,278775,957,130006
357,830,279605,873,130879
356,863,280468,1008,131887
355,839,281307,935,132822
354,776,282083,1008,133830
353,811,282894,961,134791
352,820,283714,998,135789
351,814,284528,937,136726
350,789,285317,925,137651
349,786,286103,909,138560
348,781,286884,982,139542
347,784,287668,850,140392
346,780,288448,972,141364
345,703,289151,952,142316
344,769,289920,939,143255
343,756,290676,922,144177
342,737,291413,986,145163
341,653,292066,990,146153
340,664,292730,905,147058
339,655,293385,956,148014
338,695,294080,916,148930
337,665,294745,995,149925
336,639,295384,899,150824
335,621,296005,883,151707
334,641,296646,909,152616
333,635,297281,894,153510
332,650,297931,885,154395
331,625,298556,894,155289
330,614,299170,921,156210
329,625,299795,882,157092
328,595,300390,895,157987
327,568,300958,934,158921
326,604,301562,919,159840
325,574,302136,866,160706
324,568,302704,891,161597
323,525,303229,870,162467
322,581,303810,894,163361
321,543,304353,878,164239
320,540,304893,868,165107
319,545,305438,901,166008
318,497,305935,872,166880
317,484,306419,841,167721
316,531,306950,818,168539
315,530,307480,891,169430
314,501,307981,793,170223
313,472,308453,802,171025
312,502,308955,812,171837
311,459,309414,770,172607
310,433,309847,814,173421
309,459,310306,795,174216
308,448,310754,747,174963
307,462,311216,774,175737
306,463,311679,757,176494
305,426,312105,732,177226
304,425,312530,740,177966
303,440,312970,743,178709
302,416,313386,737,179446
301,416,313802,733,180179
300,395,314197,715,180894
299,418,314615,695,181589
298,390,315005,701,182290
297,371,315376,719,183009
296,387,315763,667,183676
295,341,316104,674,184350
294,370,316474,643,184993
293,380,316854,654,185647
292,339,317193,683,186330
291,333,317526,609,186939
290,328,317854,606,187545
289,322,318176,605,188150
288,342,318518,638,188788
287,317,318835,588,189376
286,341,319176,601,189977
285,301,319477,563,190540
284,311,319788,563,191103
283,269,320057,587,191690
282,296,320353,584,192274
281,308,320661,562,192836
280,270,320931,584,193420
279,279,321210,591,194011
278,299,321509,520,194531
277,238,321747,516,195047
276,289,322036,543,195590
275,270,322306,531,196121
274,242,322548,512,196633
273,255,322803,545,197178
272,236,323039,507,197685
271,233,323272,516,198201
270,221,323493,517,198718
269,236,323729,527,199245
268,238,323967,548,199793
267,209,324176,506,200299
266,235,324411,493,200792
265,223,324634,499,201291
264,225,324859,514,201805
263,217,325076,492,202297
262,235,325311,486,202783
261,217,325528,483,203266
260,197,325725,547,203813
259,190,325915,494,204307
258,179,326094,494,204801
257,182,326276,497,205298
256,171,326447,486,205784
255,179,326626,512,206296
254,164,326790,507,206803
253,177,326967,520,207323
252,178,327145,480,207803
251,160,327305,486,208289
250,164,327469,477,208766
249,160,327629,504,209270
248,146,327775,521,209791
247,157,327932,532,210323
246,172,328104,556,210879
245,153,328257,508,211387
244,139,328396,577,211964
243,146,328542,493,212457
242,164,328706,466,212923
241,131,328837,487,213410
240,152,328989,526,213936
239,142,329131,520,214456
238,135,329266,498,214954
237,139,329405,529,215483
236,140,329545,564,216047
235,145,329690,497,216544
234,127,329817,506,217050
233,147,329964,531,217581
232,119,330083,529,218110
231,126,330209,518,218628
230,124,330333,493,219121
229,112,330445,516,219637
228,117,330562,521,220158
227,131,330693,511,220669
226,117,330810,538,221207
225,114,330924,438,221645
224,102,331026,506,222151
223,109,331135,493,222644
222,103,331238,498,223142
221,108,331346,495,223637
220,111,331457,500,224137
219,114,331571,497,224634
218,101,331672,487,225121
217,103,331775,508,225629
216,101,331876,466,226095
215,97,331973,439,226534
214,85,332058,442,226976
213,87,332145,436,227412
212,88,332233,439,227851
211,81,332314,426,228277
210,88,332402,425,228702
209,95,332497,412,229114
208,94,332591,447,229561
207,90,332681,375,229936
206,88,332769,416,230352
205,84,332853,405,230757
204,83,332936,400,231157
203,87,333023,376,231533
202,65,333088,370,231903
201,71,333159,337,232240
200,83,333242,366,232606
199,74,333316,312,232918
198,63,333379,330,233248
197,74,333453,294,233542
196,64,333517,316,233858
195,62,333579,296,234154
194,68,333647,261,234415
193,65,333712,266,234681
192,51,333763,278,234959
191,59,333822,260,235219
190,59,333881,249,235468
189,51,333932,244,235712
188,55,333987,211,235923
187,57,334044,218,236141
186,57,334101,232,236373
185,52,334153,177,236550
184,37,334190,217,236767
183,54,334244,176,236943
182,40,334284,176,237119
181,44,334328,158,237277
180,35,334363,186,237463
179,36,334399,193,237656
178,38,334437,179,237835
177,33,334470,150,237985
176,34,334504,157,238142
175,30,334534,152,238294
174,40,334574,135,238429
173,41,334615,136,238565
172,23,334638,125,238690
171,30,334668,115,238805
170,33,334701,111,238916
169,20,334721,113,239029
168,26,334747,88,239117
167,22,334769,95,239212
166,20,334789,89,239301
165,24,334813,111,239412
164,20,334833,95,239507
163,23,334856,79,239586
162,21,334877,100,239686
161,21,334898,71,239757
160,20,334918,63,239820
159,18,334936,79,239899
158,26,334962,68,239967
157,18,334980,59,240026
156,19,334999,64,240090
155,17,335016,75,240165
154,16,335032,52,240217
153,19,335051,55,240272
152,16,335067,51,240323
151,11,335078,49,240372
150,14,335092,53,240425
149,19,335111,49,240474
